gestion,codigo_municipio,area,edad,sexo,valor
2024,10601,rural,19,hombre,80
2024,10601,rural,19,mujer,106
2024,10601,rural,20,hombre,85
2024,10601,rural,20,mujer,78
2024,10601,rural,21,hombre,80
2024,10601,rural,21,mujer,88
2024,10601,rural,22,hombre,69
2024,10601,rural,22,mujer,70
2024,10601,rural,23,hombre,88
2024,10601,rural,23,mujer,89
2024,10601,rural,24,hombre,110
2024,10601,rural,24,mujer,89
2024,10601,rural,25,hombre,73
2024,10601,rural,25,mujer,68
2024,10601,rural,26,hombre,61
2024,10601,rural,26,mujer,57
2024,10601,rural,27,hombre,69
2024,10601,rural,27,mujer,44
2024,10601,rural,28,hombre,51
2024,10601,rural,28,mujer,60
2024,10601,urbana,16,hombre,33
2024,10601,urbana,16,mujer,53
2024,10601,urbana,17,hombre,32
2024,10601,urbana,17,mujer,31
2024,10601,urbana,18,hombre,29
2024,10601,urbana,18,mujer,28
2024,10601,urbana,19,hombre,26
2024,10601,urbana,19,mujer,21
2024,10601,urbana,20,hombre,18
2024,10601,urbana,20,mujer,25
2024,10601,urbana,21,hombre,19
2024,10601,urbana,21,mujer,19
2024,10601,urbana,22,hombre,24
2024,10601,urbana,22,mujer,19
2024,10601,urbana,23,hombre,24
2024,10601,urbana,23,mujer,30
2024,10601,urbana,24,hombre,29
2024,10601,urbana,24,mujer,17
2024,10601,urbana,25,hombre,19
2024,10601,urbana,25,mujer,21
2024,10601,urbana,26,hombre,19
2024,10601,urbana,26,mujer,21
2024,10601,urbana,27,hombre,15
2024,10601,urbana,27,mujer,19
2024,10601,urbana,28,hombre,17
2024,10601,urbana,28,mujer,24
2024,10602,rural,16,hombre,74
2024,10602,rural,16,mujer,72
2024,10602,rural,17,hombre,71
2024,10602,rural,17,mujer,69
2024,10602,rural,18,hombre,64
2024,10602,rural,18,mujer,65
2024,10602,rural,19,hombre,53
2024,10602,rural,19,mujer,57
2024,10602,rural,20,hombre,65
2024,10602,rural,20,mujer,48
2024,10602,rural,21,hombre,55
2024,10602,rural,21,mujer,62
2024,10602,rural,22,hombre,58
2024,10602,rural,22,mujer,62
2024,10602,rural,23,hombre,66
2024,10602,rural,23,mujer,55
2024,10602,rural,24,hombre,65
2024,10602,rural,24,mujer,52
2024,10602,rural,25,hombre,71
2024,10602,rural,25,mujer,69
2024,10602,rural,26,hombre,63
2024,10602,rural,26,mujer,58
2024,10602,rural,27,hombre,64
2024,10602,rural,27,mujer,67
2024,10602,rural,28,hombre,48
2024,10602,rural,28,mujer,48
2024,10701,rural,16,hombre,70
2024,10701,rural,16,mujer,68
2024,10701,rural,17,hombre,77
2024,10701,rural,17,mujer,65
2024,10701,rural,18,hombre,70
2024,10701,rural,18,mujer,61
2024,10701,rural,19,hombre,84
2024,10701,rural,19,mujer,66
2024,10701,rural,20,hombre,52
2024,10701,rural,20,mujer,61
2024,10701,rural,21,hombre,72
2024,10701,rural,21,mujer,62
2024,10701,rural,22,hombre,85
2024,10701,rural,22,mujer,70
2024,10701,rural,23,hombre,63
2024,10701,rural,23,mujer,63
2024,10701,rural,24,hombre,69
2024,10701,rural,24,mujer,78
2024,10701,rural,25,hombre,65
2024,10701,rural,25,mujer,74
2024,10701,rural,26,hombre,73
2024,10701,rural,26,mujer,91
2024,10701,rural,27,hombre,61
2024,10701,rural,27,mujer,69
2024,10701,rural,28,hombre,79
2024,10701,rural,28,mujer,69
2024,10701,urbana,16,hombre,55
2024,10701,urbana,16,mujer,63
2024,10701,urbana,17,hombre,38
2024,10701,urbana,17,mujer,53
2024,10701,urbana,18,hombre,39
2024,10701,urbana,18,mujer,51
2024,10701,urbana,19,hombre,30
2024,10701,urbana,19,mujer,30
2024,10701,urbana,20,hombre,41
2024,10701,urbana,20,mujer,33
2024,10701,urbana,21,hombre,39
2024,10701,urbana,21,mujer,31
2024,10701,urbana,22,hombre,41
2024,10701,urbana,22,mujer,41
2024,10701,urbana,23,hombre,49
2024,10701,urbana,23,mujer,45
2024,10701,urbana,24,hombre,35
2024,10701,urbana,24,mujer,49
2024,10701,urbana,25,hombre,40
2024,10701,urbana,25,mujer,57
2024,10701,urbana,26,hombre,31
2024,10701,urbana,26,mujer,41
2024,10701,urbana,27,hombre,52
2024,10701,urbana,27,mujer,45
2024,10701,urbana,28,hombre,32
2024,10701,urbana,28,mujer,46
2024,10702,rural,16,hombre,268
2024,10702,rural,16,mujer,277
2024,10702,rural,17,hombre,238
2024,10702,rural,17,mujer,270
2024,10702,rural,18,hombre,212
2024,10702,rural,18,mujer,189
2024,10702,rural,19,hombre,159
2024,10702,rural,19,mujer,203
2024,10702,rural,20,hombre,160
2024,10702,rural,20,mujer,187
2024,10702,rural,21,hombre,160
2024,10702,rural,21,mujer,171
2024,10702,rural,22,hombre,152
2024,10702,rural,22,mujer,171
2024,10702,rural,23,hombre,213
2024,10702,rural,23,mujer,169
2024,10702,rural,24,hombre,181
2024,10702,rural,24,mujer,195
2024,10702,rural,25,hombre,152
2024,10702,rural,25,mujer,156
2024,10702,rural,26,hombre,163
2024,10702,rural,26,mujer,151
2024,10702,rural,27,hombre,159
2024,10702,rural,27,mujer,142
2024,10702,rural,28,hombre,150
2024,10702,rural,28,mujer,136
2024,10702,urbana,16,hombre,33
2024,10702,urbana,16,mujer,43
2024,10702,urbana,17,hombre,46
2024,10702,urbana,17,mujer,20
2024,10702,urbana,18,hombre,24
2024,10702,urbana,18,mujer,15
2024,10702,urbana,19,hombre,20
2024,10702,urbana,19,mujer,19
2024,10702,urbana,20,hombre,19
2024,10702,urbana,20,mujer,21
2024,10702,urbana,21,hombre,17
2024,10702,urbana,21,mujer,20
2024,10702,urbana,22,hombre,17
2024,10702,urbana,22,mujer,21
2024,10702,urbana,23,hombre,19
2024,10702,urbana,23,mujer,16
2024,10702,urbana,24,hombre,18
2024,10702,urbana,24,mujer,25
2024,10702,urbana,25,hombre,16
2024,10702,urbana,25,mujer,37
2024,10702,urbana,26,hombre,16
2024,10702,urbana,26,mujer,26
2024,10702,urbana,27,hombre,16
2024,10702,urbana,27,mujer,31
2024,10702,urbana,28,hombre,18
2024,10702,urbana,28,mujer,29
2024,10703,rural,16,hombre,112
2024,10703,rural,16,mujer,111
2024,10703,rural,17,hombre,138
2024,10703,rural,17,mujer,134
2024,10703,rural,18,hombre,110
2024,10703,rural,18,mujer,118
2024,10703,rural,19,hombre,130
2024,10703,rural,19,mujer,121
2024,10703,rural,20,hombre,133
2024,10703,rural,20,mujer,119
2024,10703,rural,21,hombre,109
2024,10703,rural,21,mujer,124
2024,10703,rural,22,hombre,107
2024,10703,rural,22,mujer,126
2024,10703,rural,23,hombre,137
2024,10703,rural,23,mujer,147
2024,10703,rural,24,hombre,135
2024,10703,rural,24,mujer,124
2024,10703,rural,25,hombre,135
